|Performance counter stats|C|Vala (Gee)|Python|Vala (GLib)
|seconds time elapsed|0.167983287|0.575971153|5.645002396|9.481985276
|task-clock|167.373524|575.422353|5644.228565|9480.929621
|context-switches|1|1|9|19
|cpu-migrations|1|1|3|1
|page-faults|785|643|3,380|1,042
|cycles|514,939,216|1,706,530,307|16,964,435,086|27,931,279,895
|stalled-cycles-frontend|177,126,811|804,510,638|3,982,808,734|23,873,332,537
|stalled-cycles-backend|25,597,018|225,726,193|1,219,951,714|18,391,463,018
|branches|57,299,268|270,933,180|7,548,747,415|3,431,684,225
|branch-misses|431,965|534,024|48,326,241|616,496
